href,terreno,construccion,cuartos,baños,estacionamientos,precio
https://www2.casasyterrenos.com/propiedades/1950536?tp=casas&tt=venta,356.0,344.12,4.0,4.5,5.0,7750000.0
https://www2.casasyterrenos.com/propiedades/1918326?tp=casas&tt=venta,262.0,246.0,4.0,4.0,2.0,4690000.0
https://www2.casasyterrenos.com/propiedades/2438763?tp=casas&tt=venta,253.0,311.0,3.0,3.5,3.0,5400000.0
https://www2.casasyterrenos.com/propiedades/2438784?tp=casas&tt=venta,253.0,294.0,4.0,4.5,3.0,4900000.0
https://www2.casasyterrenos.com/propiedades/2571911?tp=casas&tt=venta,250.0,290.0,3.0,3.5,3.0,5300000.0
https://www2.casasyterrenos.com/propiedades/2571925?tp=casas&tt=venta,300.0,290.0,3.0,3.5,3.0,5300000.0
https://www2.casasyterrenos.com/propiedades/2438966?tp=casas&tt=venta,253.0,294.0,4.0,4.5,3.0,4900000.0
https://www2.casasyterrenos.com/propiedades/2438980?tp=casas&tt=venta,253.0,311.0,3.0,3.5,3.0,5400000.0
https://www2.casasyterrenos.com/propiedades/2438637?tp=casas&tt=venta,253.0,294.0,4.0,4.5,3.0,4900000.0
https://www2.casasyterrenos.com/propiedades/2438679?tp=casas&tt=venta,253.0,311.0,3.0,3.5,3.0,5400000.0
https://www2.casasyterrenos.com/propiedades/1977661?tp=casas&tt=venta,253.0,300.0,4.0,4.0,3.0,6000000.0
https://www2.casasyterrenos.com/propiedades/2338722?tp=casas&tt=venta,259.0,293.0,4.0,2.5,4.0,6500000.0
https://www2.casasyterrenos.com/propiedades/2338970?tp=casas&tt=venta,284.0,453.0,4.0,4.0,4.0,8500000.0
https://www2.casasyterrenos.com/propiedades/2457488?tp=casas&tt=venta,315.0,278.0,3.0,3.5,4.0,3900000.0
https://www2.casasyterrenos.com/propiedades/2193310?tp=casas&tt=venta,253.0,325.0,4.0,5.0,2.0,5600000.0
https://www2.casasyterrenos.com/propiedades/2543310?tp=casas&tt=venta,253.0,300.0,3.0,4.0,4.0,5150000.0
https://www2.casasyterrenos.com/propiedades/2541048?tp=casas&tt=venta,248.0,270.0,4.0,4.0,3.0,5600000.0
https://www2.casasyterrenos.com/propiedades/2298962?tp=casas&tt=venta,257.0,251.0,3.0,4.0,2.0,5200000.0
https://www2.casasyterrenos.com/propiedades/2363576?tp=casas&tt=venta,271.0,340.0,3.0,5.0,4.0,6600000.0
https://www2.casasyterrenos.com/propiedades/2176419?tp=casas&tt=venta,255.0,240.0,3.0,4.0,2.0,5250000.0
https://www2.casasyterrenos.com/propiedades/2298955?tp=casas&tt=venta,299.0,280.0,3.0,5.0,3.0,6000000.0
https://www2.casasyterrenos.com/propiedades/2521063?tp=casas&tt=venta,253.0,300.0,4.0,4.0,3.0,5750000.0
https://www2.casasyterrenos.com/propiedades/2516940?tp=casas&tt=venta,253.0,325.0,3.0,3.5,2.0,5600000.0
https://www2.casasyterrenos.com/propiedades/2227967?tp=casas&tt=venta,355.0,344.0,4.0,4.0,5.0,7750000.0
https://www2.casasyterrenos.com/propiedades/2517507?tp=casas&tt=venta,259.0,311.0,3.0,3.5,2.0,4900000.0
https://www2.casasyterrenos.com/propiedades/2339294?tp=casas&tt=venta,253.0,325.0,4.0,5.0,2.0,5900000.0
https://www2.casasyterrenos.com/propiedades/2444979?tp=casas&tt=venta,253.0,253.0,3.0,4.5,3.0,5000000.0
https://www2.casasyterrenos.com/propiedades/2689014?tp=casas&tt=venta,240.0,255.0,3.0,4.0,2.0,5250000.0
https://www2.casasyterrenos.com/propiedades/2688993?tp=casas&tt=venta,253.0,325.0,3.0,5.0,2.0,5600000.0
https://www2.casasyterrenos.com/propiedades/2638782?tp=casas&tt=venta,253.0,270.0,3.0,4.0,2.0,6100000.0
https://www2.casasyterrenos.com/propiedades/2699101?tp=casas&tt=venta,253.0,271.0,4.0,4.5,3.0,6100000.0
https://www2.casasyterrenos.com/propiedades/2507833?tp=casas&tt=venta,161.0,218.0,3.0,4.0,3.0,4680000.0
https://www2.casasyterrenos.com/propiedades/2380088?tp=casas&tt=venta,284.0,453.0,4.0,6.0,5.0,8550000.0
https://www2.casasyterrenos.com/propiedades/2370566?tp=casas&tt=venta,255.0,300.0,3.0,4.0,3.0,7000000.0
https://www2.casasyterrenos.com/propiedades/2350874?tp=casas&tt=venta,259.0,293.0,4.0,3.0,4.0,6500000.0
https://www2.casasyterrenos.com/propiedades/2271650?tp=casas&tt=venta,253.0,470.0,4.0,6.0,4.0,9600000.0
https://www2.casasyterrenos.com/propiedades/2387732?tp=casas&tt=venta,253.0,300.0,3.0,4.0,3.0,5700000.0
https://www2.casasyterrenos.com/propiedades/2648589?tp=casas&tt=venta,253.0,273.0,3.0,4.5,3.0,5700000.0
https://www2.casasyterrenos.com/propiedades/2337340?tp=casas&tt=venta,284.0,453.0,4.0,4.5,5.0,8550000.0
https://www2.casasyterrenos.com/propiedades/2125369?tp=casas&tt=venta,253.0,280.0,4.0,4.5,3.0,5680000.0
https://www2.casasyterrenos.com/propiedades/2467828?tp=casas&tt=venta,290.0,320.0,3.0,2.0,2.0,6900000.0
https://www2.casasyterrenos.com/propiedades/2417240?tp=casas&tt=venta,168.0,250.0,4.0,4.0,2.0,4450000.0
https://www2.casasyterrenos.com/propiedades/2489528?tp=casas&tt=venta,248.0,270.0,4.0,4.5,3.0,5600000.0
